"level","position","tech_stack","experience","gender","company","company_size","work_type","city","currency","salary","raise_period"
"Middle","Full Stack Developer","Java, .Net, Go, Python, Kotlin, React, Vue, React Native","1 - 3 Yıl","Erkek","E-Ticaret","250+","Remote","İstanbul","₺ - Türk Lirası","46.000 - 46.999","2"
"Middle","Embedded Software Developer","Python, C / C++","1 - 3 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","29.000 - 29.999","1"
"Senior","Mobile Application Developer (iOS)","Swift","3 - 5 Yıl","Erkek","Outsource","20 - 50 Kişi","Remote","İstanbul","₺ - Türk Lirası","35.000 - 35.999","1"
"Junior","Back-end Developer","Java","1 - 3 Yıl","Erkek","Yazılım Evi & Danışmanlık","100 - 250 Kişi","Remote","İstanbul","₺ - Türk Lirası","19.000 - 19.999","1"
"Middle","DevOps Engineer","Php, NodeJS, Go, Python, React, Angular","0 - 1 Yıl","Erkek","Startup","20 - 50 Kişi","Ofis","Denizli","₺ - Türk Lirası","15.000 - 15.999","3"
"Middle","Back-end Developer",".Net","7 - 10 Yıl","Erkek","E-Ticaret","5 - 10 Kişi","Ofis","İstanbul","₺ - Türk Lirası","23.000 - 23.999","1"
"Middle","Data Scientist","Python","3 - 5 Yıl","Erkek","Banka","250+","Remote","İstanbul","₺ - Türk Lirası","38.000 - 38.999","1"
"Middle","Back-end Developer","Java, Go","10 - 12 Yıl","Erkek","E-Ticaret","250+","Remote","İstanbul","₺ - Türk Lirası","55.000 - 55.999","2"
"Middle","Back-end Developer","Java, Go","10 - 12 Yıl","Erkek","E-Ticaret","250+","Remote","İstanbul","₺ - Türk Lirası","55.000 - 55.999","2"
"Senior","Mobile Application Developer (iOS)","Swift, Objective C","7 - 10 Yıl","Erkek","Outsource","250+","Remote","Muğla","₺ - Türk Lirası","74.000 - 74.999","2"
"Middle","Back-end Developer",".Net, JavaScript | Html | Css, React","3 - 5 Yıl","Erkek","Startup","100 - 250 Kişi","Remote","İstanbul","₺ - Türk Lirası","22.000 - 22.999","1"
"Middle","Back-end Developer","Java","1 - 3 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","34.000 - 34.999","1"
"Senior","Full Stack Developer",".Net","7 - 10 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","Ankara","₺ - Türk Lirası","40.000 - 40.999","1"
"Senior","QA / Manuel Test","Java","3 - 5 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","40.000 - 40.999","4"
"Middle","Back-end Developer","Java","3 - 5 Yıl","Erkek","Kurumsal","250+","Remote","Eskişehir","₺ - Türk Lirası","35.000 - 35.999","4"
"Middle","Game Developer","Unity","1 - 3 Yıl","Erkek","Oyun","20 - 50 Kişi","Ofis","İstanbul","₺ - Türk Lirası","37.000 - 37.999","4"
"Senior","Back-end Developer",".Net","5 - 7 Yıl","Erkek","Banka","250+","Remote","İstanbul","₺ - Türk Lirası","33.000 - 33.999","1"
"Middle","Front-end Developer","JavaScript | Html | Css, React","1 - 3 Yıl","Erkek","E-Ticaret","50 - 100 Kişi","Remote","İstanbul","₺ - Türk Lirası","26.000 - 26.999","2"
"Senior","QA / Manuel Test","Tfs, sql","3 - 5 Yıl","Kadın","Kurumsal","100 - 250 Kişi","Remote","Bursa","₺ - Türk Lirası","16.000 - 16.999","2"
"Senior","Back-end Developer","C / C++","12 - 14 Yıl","Erkek","Kurumsal","100 - 250 Kişi","Remote","İstanbul","₺ - Türk Lirası","40.000 - 40.999","2"
"Senior","Full Stack Developer","Php","10 - 12 Yıl","Erkek","Dijital / Reklam Ajansı","5 - 10 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","10.000 - 10.999","1"
"Junior","SAP/ABAP","Abap","0 - 1 Yıl","Erkek","Yazılım Evi & Danışmanlık","250+","Remote","İstanbul","₺ - Türk Lirası","10.000 - 10.999","2"
"Senior","Full Stack Developer",".Net, Php, Go, Python, Ruby, Kotlin, Swift, Objective C","10 - 12 Yıl","Erkek","Dijital / Reklam Ajansı","5 - 10 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","10.000 - 10.999","1"
"Senior","Front-end Developer","Angular","15 Yıl ve üzeri","Erkek","Kurumsal","10 - 20 Kişi","Remote","İstanbul","₺ - Türk Lirası","26.000 - 26.999","4"
"Junior","Software Architect","Java, React","1 - 3 Yıl","Erkek","Kurumsal","250+","Remote","İstanbul","₺ - Türk Lirası","31.000 - 31.999","2"
"Senior","Product Owner","Java, React","10 - 12 Yıl","Erkek","Banka","250+","Remote","İstanbul","₺ - Türk Lirası","60.000 - 60.999","2"
"Senior","Back-end Developer","Php, NodeJS, Vue","10 - 12 Yıl","Erkek","Yazılım Evi & Danışmanlık","10 - 20 Kişi","Şu an remote ama hibrite döneceğiz.","İstanbul","₺ - Türk Lirası","11.000 - 11.999","1"
"Junior","Full Stack Developer","NodeJS, JavaScript | Html | Css, React Native","0 - 1 Yıl","Erkek","Startup","5 - 10 Kişi","Remote","Bursa","₺ - Türk Lirası","19.000 - 19.999","2"
"Senior","Mobile Application Developer (iOS)","Swift, Objective C","5 - 7 Yıl","Erkek","E-Ticaret","50 - 100 Kişi","Remote","İstanbul","₺ - Türk Lirası","20.000 - 20.999","1"
"Senior","Front-end Developer","JavaScript | Html | Css, Vue","15 Yıl ve üzeri","Erkek","Kurumsal","100 - 250 Kişi","Remote","Sakarya","₺ - Türk Lirası","73.000 - 73.999","2"
"Senior","CTO","NodeJS, JavaScript | Html | Css, Vue","5 - 7 Yıl","Erkek","Startup","20 - 50 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","15.000 - 15.999","2"
"Junior","QA / Automation","Java","1 - 3 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","14.000 - 14.999","1"
"Junior","Full Stack Developer",".Net, JavaScript | Html | Css","0 - 1 Yıl","Erkek","Kurumsal","250+","Ofis","Bursa","₺ - Türk Lirası","15.000 - 15.999","2"
"Middle","Front-end Developer","NodeJS, Vue","3 - 5 Yıl","Erkek","Banka","250+","Hibrit (Ofis + Remote)","Ankara","₺ - Türk Lirası","30.000 - 30.999","2"
"Senior","Data Engineer","Python, SQL","7 - 10 Yıl","Erkek","Kurumsal","250+","Şu an remote ama hibrite döneceğiz.","İstanbul","₺ - Türk Lirası","66.000 - 66.999","2"
"Junior","Data Scientist","Python","1 - 3 Yıl","Erkek","Startup","10 - 20 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","15.000 - 15.999","1"
"Senior","Back-end Developer",".Net","5 - 7 Yıl","Erkek","Outsource","100 - 250 Kişi","Remote","* ABD","$ - Dolar","4.000 - 4.999","1"
"Middle","Front-end Developer","NodeJS, JavaScript | Html | Css, React","1 - 3 Yıl","Erkek","Kurumsal","250+","Remote","İstanbul","₺ - Türk Lirası","40.000 - 40.999","2"
"Senior","Back-end Developer","Php","12 - 14 Yıl","Erkek","Outsource","20 - 50 Kişi","Remote","İstanbul","₺ - Türk Lirası","24.000 - 24.999","2"
